Format,State,"Air Carrier","Flight Type","Stage Type",Year,Months,"Passengers Carried","Passenger-KM performed (1000s)","Seat-KM available (1000s)","Passenger load factor"
KAZAKHSTAN,"AIR ASTANA","Scheduled flight","Domestic flights",2017,11,1979746,2418241,3500126,0.691
AZERBAIJAN,"AZALAVIA HAVA YOLL.","Scheduled flight","International flights",2017,9,1361864,3000384,4146639,0.724
AZERBAIJAN,"AZALAVIA HAVA YOLL.","Scheduled flight","Domestic flights",2017,9,466711,310051,346975,0.894
CZECHIA,"CZECH AIRLINES","Scheduled flight","International flights",2017,11,2385888,3126098,3824668,0.817
CZECHIA,"CZECH AIRLINES","Scheduled flight","Domestic flights",2017,11,27354,8559,16200,0.528
CZECHIA,"TRAVEL SERVIS","Scheduled flight","International flights",2017,10,1790747,3327664,4116531,0.808
CROATIA,"CROATIA AIRLINES","Scheduled flight","International flights",2017,12,1531776,1337528,1798420,0.744
CROATIA,"CROATIA AIRLINES","Scheduled flight","Domestic flights",2017,12,526028,168103,231857,0.725
AUSTRIA,"AUSTRIAN AIRLINES GROUP","Scheduled flight","International flights",2017,10,9658185,16133279,20862879,0.773
AUSTRIA,"AUSTRIAN AIRLINES GROUP","Scheduled flight","Domestic flights",2017,10,421599,115894,187361,0.619
AUSTRALIA,QANTAS,"Scheduled flight","International flights",2017,6,3330260,26437298,33308442,0.794
AUSTRALIA,QANTAS,"Scheduled flight","Domestic flights",2017,6,7121911,10324996,13529765,0.763
AUSTRALIA,QANTASLINK,"Scheduled flight","Domestic flights",2017,6,3045489,2295222,3439919,0.667
ARGENTINA,"AEROLINEAS ARGENTINAS","Scheduled flight","International flights",2017,11,2814282,12337445,14355961,0.859
ARGENTINA,"AEROLINEAS ARGENTINAS","Scheduled flight","Domestic flights",2017,11,5668786,6873543,8734294,0.787
ARGENTINA,AUSTRAL,"Scheduled flight","International flights",2017,11,472797,456877,585094,0.781
ARGENTINA,AUSTRAL,"Scheduled flight","Domestic flights",2017,11,2951878,2550514,3170935,0.804
ARGENTINA,"LAN ARGENTINA","Scheduled flight","International flights",2017,11,574516,2072670,2312106,0.896
ARGENTINA,"LAN ARGENTINA","Scheduled flight","Domestic flights",2017,11,2341769,2689332,3342205,0.805
ALGERIA,"AIR ALGERIE","Scheduled flight","International flights",2017,2,532263,829406,1329612,0.624
ALGERIA,"AIR ALGERIE","Scheduled flight","Domestic flights",2017,2,275901,166486,257585,0.646
FRANCE,"AIR TAHITI NUI","Scheduled flight","International flights",2017,11,406801,3441329,4085354,0.842
FRANCE,"XL AIRWAYS (FR)","Scheduled flight","International flights",2017,11,382450,2626427,3062712,0.858
FRANCE,"XL AIRWAYS (FR)","Scheduled flight","Domestic flights",2017,11,206293,1570602,1822560,0.862
FRANCE,"AIR CARAIBES","Scheduled flight","International flights",2017,11,235885,1530568,2105020,0.727
FRANCE,"AIR CARAIBES","Scheduled flight","Domestic flights",2017,11,1185266,5986466,6829947,0.877
FRANCE,"AIR AUSTRAL","Scheduled flight","International flights",2017,11,501270,688638,994861,0.692
FRANCE,"AIR AUSTRAL","Scheduled flight","Domestic flights",2017,11,543321,4016665,4511139,0.89
FRANCE,"AIR CALEDONIE INTL","Scheduled flight","International flights",2017,11,344885,1424867,1764672,0.807
FRANCE,"AIR CALEDONIE INTL","Scheduled flight","Domestic flights",2017,11,39518,99440,141203,0.704
FRANCE,"AIR FRANCE","Scheduled flight","International flights",2017,11,29235995,112208511,129582066,0.866
FRANCE,"AIR FRANCE","Scheduled flight","Domestic flights",2017,11,17128932,19745033,24551663,0.804
FRANCE,CORSAIR,"Scheduled flight","International flights",2017,11,418220,1999440,2684574,0.745
FRANCE,CORSAIR,"Scheduled flight","Domestic flights",2017,11,718786,5469563,6484886,0.843
FRANCE,CORSE-MEDITERRANEE,"Scheduled flight","International flights",2017,9,47186,46531,56095,0.83
FRANCE,CORSE-MEDITERRANEE,"Scheduled flight","Domestic flights",2017,11,1631158,940394,1326319,0.709
FRANCE,"AIGLE AZUR","Scheduled flight","International flights",2017,11,1778461,2468390,3342301,0.739
FRANCE,"AIGLE AZUR","Scheduled flight","Domestic flights",2017,11,7349,1922,8155,0.236
FRANCE,"TRANSAVIA.COM FRANCE","Scheduled flight","International flights",2017,11,5051482,7741580,9048733,0.856
FRANCE,"TRANSAVIA.COM FRANCE","Scheduled flight","Domestic flights",2017,7,1733,875,1022,0.856
FRANCE,"EUROPE AIRPOST","Scheduled flight","International flights",2017,11,56012,95229,154202,0.618
FRANCE,"EUROPE AIRPOST","Scheduled flight","Domestic flights",2017,11,3471,3103,7432,0.418
FINLAND,FINNAIR,"Scheduled flight","International flights",2017,12,9871785,29797408,35458038,0.84
FINLAND,FINNAIR,"Scheduled flight","Domestic flights",2017,12,2128681,1105665,1639478,0.674
FINLAND,"FLYBE FINLAND","Scheduled flight","International flights",2017,1,122158,110413,168572,0.655
FINLAND,"FLYBE FINLAND","Scheduled flight","Domestic flights",2017,1,87022,38187,70528,0.541
